train_loss,epoch,step,valid_loss,valid_acc,train_acc
0.7049251794815063,0,9,,,
0.6466386914253235,0,19,,,
0.4868568480014801,0,29,,,
0.32478824257850647,0,39,,,
0.22417515516281128,0,49,,,
0.2687337398529053,0,59,,,
0.18937012553215027,0,69,,,
0.18081523478031158,0,79,,,
0.22404804825782776,0,89,,,
0.18210358917713165,0,99,,,
0.18895387649536133,0,109,,,
0.1944114714860916,0,119,,,
0.21685484051704407,0,129,,,
0.16739407181739807,0,139,,,
0.20700806379318237,0,149,,,
0.18100807070732117,0,159,,,
0.1259194165468216,0,169,,,
0.1185247153043747,0,179,,,
0.1633826047182083,0,189,,,
0.1040513664484024,0,199,,,
0.14218944311141968,0,209,,,
,0,213,0.14714758098125458,0.9563999176025391,
,0,213,,,0.9082943797111511
0.0876799151301384,1,219,,,
0.14384077489376068,1,229,,,
0.17311398684978485,1,239,,,
0.1358644813299179,1,249,,,
0.12811510264873505,1,259,,,
0.09966979175806046,1,269,,,
0.04953522980213165,1,279,,,
0.1554550975561142,1,289,,,
0.1932957023382187,1,299,,,
0.1449616700410843,1,309,,,
0.06820876151323318,1,319,,,
0.059922244399785995,1,329,,,
0.19607898592948914,1,339,,,
0.10235467553138733,1,349,,,
0.15334992110729218,1,359,,,
0.11193584650754929,1,369,,,
0.10109202563762665,1,379,,,
0.09141778945922852,1,389,,,
0.11053720116615295,1,399,,,
0.212397962808609,1,409,,,
0.10886786133050919,1,419,,,
,1,427,0.12378309667110443,0.9649999737739563,
,1,427,,,0.9654643535614014
0.09415682405233383,2,429,,,
0.08557886630296707,2,439,,,
0.08793660998344421,2,449,,,
0.09678534418344498,2,459,,,
0.13185511529445648,2,469,,,
0.12216991931200027,2,479,,,
0.06470930576324463,2,489,,,
0.07889824360609055,2,499,,,
0.04472195729613304,2,509,,,
0.05264244228601456,2,519,,,
0.09184294193983078,2,529,,,
0.07073521614074707,2,539,,,
0.06427579373121262,2,549,,,
0.10319798439741135,2,559,,,
0.09970573335886002,2,569,,,
0.07140990346670151,2,579,,,
0.0575655922293663,2,589,,,
0.192768394947052,2,599,,,
0.11150554567575455,2,609,,,
0.12193921208381653,2,619,,,
0.06469398736953735,2,629,,,
0.0655718445777893,2,639,,,
,2,641,0.11446838080883026,0.9678000211715698,
,2,641,,,0.9749196767807007
0.07095129042863846,3,649,,,
0.0382600873708725,3,659,,,
0.07343239337205887,3,669,,,
0.034029021859169006,3,679,,,
0.050749197602272034,3,689,,,
0.027301952242851257,3,699,,,
0.04318557679653168,3,709,,,
0.03770230710506439,3,719,,,
0.020656434819102287,3,729,,,
0.008259478956460953,3,739,,,
0.05539016053080559,3,749,,,
0.0473773330450058,3,759,,,
0.07853402197360992,3,769,,,
0.0987243801355362,3,779,,,
0.0826772004365921,3,789,,,
0.053021643310785294,3,799,,,
0.05274426192045212,3,809,,,
0.05586889758706093,3,819,,,
0.08123617619276047,3,829,,,
0.0596153698861599,3,839,,,
0.07079718261957169,3,849,,,
,3,855,0.11140082776546478,0.9697999954223633,
,3,855,,,0.9801584482192993
0.056073084473609924,4,859,,,
0.03679453954100609,4,869,,,
0.018817128613591194,4,879,,,
0.07269927859306335,4,889,,,
0.04126186668872833,4,899,,,
0.04339458420872688,4,909,,,
0.045220836997032166,4,919,,,
0.049348894506692886,4,929,,,
0.054769109934568405,4,939,,,
0.0369936041533947,4,949,,,
0.0654497742652893,4,959,,,
0.053213898092508316,4,969,,,
0.03907153382897377,4,979,,,
0.0293200071901083,4,989,,,
0.028829425573349,4,999,,,
0.02519967220723629,4,1009,,,
0.03931122273206711,4,1019,,,
0.027143191546201706,4,1029,,,
0.04932015761733055,4,1039,,,
0.04538378864526749,4,1049,,,
0.028357695788145065,4,1059,,,
0.0440538264811039,4,1069,,,
,4,1069,0.11818668246269226,0.9701999425888062,
,4,1069,,,0.9835352897644043
0.05114872381091118,5,1079,,,
0.03759254515171051,5,1089,,,
0.06889152526855469,5,1099,,,
0.013433203101158142,5,1109,,,
0.00823167059570551,5,1119,,,
0.05478653311729431,5,1129,,,
0.042543552815914154,5,1139,,,
0.08204101771116257,5,1149,,,
0.04904937371611595,5,1159,,,
0.04392632097005844,5,1169,,,
0.035023000091314316,5,1179,,,
0.025894733145833015,5,1189,,,
0.029709795489907265,5,1199,,,
0.037534862756729126,5,1209,,,
0.030154475942254066,5,1219,,,
0.021518634632229805,5,1229,,,
0.02876977063715458,5,1239,,,
0.06234893202781677,5,1249,,,
